district,crop,pattam,soil_type,irrigation_type,land_area_acres,temperature,humidity,rainfall_mm,soil_ph,soil_n,soil_p,soil_k,soil_ec,soil_organic_carbon,yield_per_acre,total_production_kg
Erode,Green Peas,Chithirai Pattam (Summer),Alluvial,Canal Irrigation,5.97,17.7,75.8,508.4,7.44,37.7,56.5,89.5,1.38,0.86,4624.04,27605.52
Dharmapuri,Cabbage,Samba / Thaladi (Main Rice Season),Sandy Soil,Well / Tube Well,1.23,16.9,62.4,715.1,6.29,159.1,52.2,81.9,0.55,0.73,14589.23,17944.75
Vellore,Maize,Aadi Pattam (Monsoon Sowing),Sandy Soil,Canal Irrigation,11.51,23.0,57.1,687.7,6.11,205.0,61.3,61.7,0.65,1.0,3968.24,45674.44
Karur,Mango,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Drip Irrigation,7.31,28.1,54.2,1113.3,6.67,339.9,185.4,385.0,0.54,0.92,7434.45,54345.83
Dharmapuri,Kodo Millet,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Drip Irrigation,21.26,29.0,77.9,373.1,6.1,42.1,10.2,5.0,1.17,0.96,660.63,14044.99
Tirunelveli,Muskmelon,Samba / Thaladi (Main Rice Season),Clay Loam,Sprinkler,2.43,33.6,66.6,470.6,6.61,31.5,24.6,38.5,0.67,0.82,7510.03,18249.37
Tenkasi,Jasmine (Mullai / Madurai Malli),Samba / Thaladi (Main Rice Season),Black Cotton Soil,Well / Tube Well,1.62,30.2,71.9,688.4,6.83,99.7,276.7,265.8,0.56,0.57,4272.91,6922.11
Nagapattinam,Barnyard Millet,Kar (Early Monsoon),Clay Loam,Sprinkler,7.31,24.1,72.0,362.9,6.94,35.2,19.1,5.0,1.22,0.62,729.75,5334.47
Sivaganga,Tapioca (Cassava),Aadi Pattam (Monsoon Sowing),Alluvial,Well / Tube Well,15.42,32.8,67.1,1262.7,6.7,54.5,41.9,109.0,0.47,0.9,18814.07,290112.96
Tirunelveli,Green Gram,Thai Pattam (Winter / Post-Monsoon),Alluvial,Rainfed,5.88,29.4,36.6,712.8,7.22,25.5,46.3,27.3,0.72,0.93,375.58,2208.41
Nagapattinam,Pearl Millet,Kar (Early Monsoon),Red Loam,Drip Irrigation,10.33,31.7,85.7,492.9,7.02,63.8,35.0,62.9,0.31,1.03,1562.79,16143.62
Ranipet,Carrot,Aadi Pattam (Monsoon Sowing),Clay Soil,Sprinkler,22.17,15.1,69.2,711.6,6.94,41.2,45.9,80.2,1.23,0.46,9398.98,208375.39
Kanniyakumari,Foxtail Millet,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Rainfed,11.0,30.0,68.1,456.3,6.64,25.8,17.9,21.4,1.13,0.62,671.13,7382.43
Tiruvallur,Foxtail Millet,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,21.6,28.4,90.6,473.5,6.83,42.6,19.6,5.0,0.44,0.47,942.49,20357.78
Thoothukudi,Bottle Gourd,Samba / Thaladi (Main Rice Season),Clay Loam,Sprinkler,9.85,28.2,65.7,895.6,6.89,49.6,21.2,58.6,1.79,0.75,7679.64,75644.45
Ariyalur,Cauliflower,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Rainfed,18.9,21.3,84.8,540.9,5.87,172.0,154.8,100.2,1.43,0.61,11624.29,219699.08
Thoothukudi,Castor,Aadi Pattam (Monsoon Sowing),Clay Soil,Well / Tube Well,23.87,29.3,49.4,439.6,6.78,33.0,33.6,7.0,1.6,0.55,700.81,16728.33
Krishnagiri,Brinjal,Samba / Thaladi (Main Rice Season),Clay Loam,Drip Irrigation,21.12,24.8,77.8,736.4,6.2,105.7,66.3,5.0,1.01,0.5,15879.64,335378.0
Karur,Tapioca (Cassava),Samba / Thaladi (Main Rice Season),Red Loam,Rainfed,8.44,30.9,53.2,1193.8,5.66,56.5,53.7,106.3,0.23,1.05,18736.76,158138.25
Ramanathapuram,Jasmine (Mullai / Madurai Malli),Aadi Pattam (Monsoon Sowing),Red Loam,Canal Irrigation,22.01,26.6,71.5,927.9,6.68,176.0,268.4,210.2,1.72,0.41,5314.56,116973.47
Cuddalore,Chilli,Kar (Early Monsoon),Sandy Loam,Canal Irrigation,16.66,23.1,81.9,844.5,6.38,148.9,66.2,80.6,1.71,0.47,9197.67,153233.18
Thoothukudi,Okra (Bhendi),Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Drip Irrigation,10.28,28.1,57.3,559.6,6.38,78.5,43.4,46.9,1.27,0.63,8098.61,83253.71
Tiruchirappalli,Okra (Bhendi),Chithirai Pattam (Summer),Black Cotton Soil,Canal Irrigation,2.07,29.0,64.8,824.4,7.97,92.5,31.4,13.2,0.23,0.77,3547.22,7342.75
Nagapattinam,Radish,Chithirai Pattam (Summer),Clay Loam,Well / Tube Well,6.11,21.7,73.7,560.7,6.72,39.4,15.5,28.8,1.65,0.99,6912.13,42233.11
Tiruvallur,Finger Millet,Aadi Pattam (Monsoon Sowing),Alluvial,Sprinkler,5.75,27.7,70.1,550.5,6.42,46.7,31.2,31.5,0.41,1.05,1444.01,8303.06
Viluppuram,Carrot,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Sprinkler,20.28,18.3,81.0,717.3,6.97,32.8,38.3,102.9,0.5,0.42,9754.88,197828.97
